salesman_id,country_id,product_id,date,Amount,Boxes Shipped
00001,C-001,0000001,2022-01-04,5320,180
00002,C-002,0000002,2022-08-01,7896,94
00003,C-002,0000003,2022-07-07,4501,91
00004,C-003,0000003,2022-04-27,12726,342
00001,C-001,0000003,2022-02-24,13685,184
00002,C-002,0000004,2022-06-06,5376,38
00005,C-001,0000005,2022-01-25,13685,176
00006,C-003,0000006,2022-03-24,3080,73
00001,C-004,0000007,2022-04-20,3990,59
00007,C-003,0000005,2022-07-04,2835,102
00008,C-001,0000004,2022-01-13,4704,62
00009,C-005,0000008,2022-03-10,3703,11
00010,C-006,0000009,2022-01-13,1442,286
00011,C-004,0000010,2022-07-28,168,156
00012,C-004,0000003,2022-08-03,8379,173
00013,C-003,0000011,2022-01-26,6790,356
00002,C-006,0000011,2022-02-14,4067,42
00014,C-005,0000004,2022-04-05,3017,140
00013,C-006,0000012,2022-02-16,8799,250
00015,C-001,0000002,2022-06-08,1085,172
00007,C-003,0000009,2022-06-27,6888,88
00006,C-005,0000013,2022-02-17,1267,157
00012,C-005,0000006,2022-05-30,4753,163
00016,C-001,0000010,2022-03-14,3003,113
00017,C-003,0000009,2022-02-28,7672,115
00011,C-002,0000014,2022-01-26,168,321
00014,C-006,0000013,2022-02-09,1652,186
00016,C-005,0000009,2022-07-07,4025,112
00018,C-004,0000015,2022-07-05,9492,151
00018,C-004,0000016,2022-06-15,5061,301
00002,C-004,0000002,2022-05-24,1722,121
00008,C-001,0000005,2022-06-29,12446,150
00019,C-003,0000016,2022-05-11,4284,94
00011,C-001,0000017,2022-06-30,6839,133
00020,C-006,0000006,2022-05-11,2163,70
00014,C-005,0000016,2022-07-22,9583,315
00020,C-001,0000007,2022-08-24,2653,314
00021,C-004,0000006,2022-07-07,147,72
00022,C-003,0000002,2022-05-19,3654,14
00011,C-002,0000016,2022-07-04,2443,581
00021,C-005,0000006,2022-06-02,938,16
00011,C-005,0000018,2022-04-15,14749,354
00010,C-006,0000019,2022-07-11,4781,241
00020,C-002,0000013,2022-02-23,6307,142
00023,C-006,0000017,2022-08-22,7602,102
00017,C-005,0000003,2022-02-16,6790,188
00002,C-005,0000007,2022-01-13,9737,160
00015,C-003,0000012,2022-02-14,6979,18
00014,C-002,0000009,2022-06-10,4382,303
00015,C-002,0000014,2022-07-07,5243,176
00015,C-006,0000017,2022-03-24,4865,70
00007,C-003,0000014,2022-06-06,8575,23
00024,C-003,0000010,2022-07-19,91,135
00013,C-005,0000018,2022-04-19,14798,83
00012,C-002,0000002,2022-07-19,2205,179
00001,C-006,0000010,2022-07-15,441,24
00025,C-004,0000013,2022-02-14,3556,18
00007,C-006,0000005,2022-05-18,16793,416
00009,C-003,0000014,2022-06-30,15421,55
